"NamePitchConc","pitch_type_name","avg_speed","pfx_x","pfx_z","release_spin_rate","spin_axis","BauerUnits"
" Ross Detwiler - 4-Seam Fastball","4-Seam Fastball",91.9,-10.4816,16.4816,2181.53666666667,137.646666666667,23.7381574174828
" Rich Hill - 4-Seam Fastball","4-Seam Fastball",88.1,-9.22367346938776,19.324387755102,2338.63180272109,147.845238095238,26.5451963986503
" Sean Doolittle - 4-Seam Fastball","4-Seam Fastball",93.1,-3.61299145299145,20.014188034188,2260.62108262108,164.494301994302,24.2816442816443
" Jon Lester - 4-Seam Fastball","4-Seam Fastball",88.7,-4.99151351351351,14.7638918918919,2171.77297297297,143.966216216216,24.4844754562906
" Andrew Miller - 4-Seam Fastball","4-Seam Fastball",87.9,-8.30376237623762,12.5037623762376,2049.91089108911,130.990099009901,23.3209430158033
" Tony Watson - 4-Seam Fastball","4-Seam Fastball",92.5,-14.3147663551402,10.3054205607477,2310.24299065421,116.355140186916,24.9755998989644
" Wade LeBlanc - 4-Seam Fastball","4-Seam Fastball",87.5,-7.80302521008403,15.8460504201681,1993.98319327731,141.235294117647,22.7883793517407
" David Price - 4-Seam Fastball","4-Seam Fastball",92.9,-8.90803738317757,12.8136448598131,2018.57943925234,134.369158878505,21.7285192599821
" J.A. Happ - 4-Seam Fastball","4-Seam Fastball",91,-7.87947295423024,16.9804160887656,2297.73855755895,143.803051317614,25.2498742588895
" Justin Wilson - 4-Seam Fastball","4-Seam Fastball",93.5,-6.37325779036827,19.1796033994334,2249.98583569405,154.878186968839,24.0640196330915
" Jake McGee - 4-Seam Fastball","4-Seam Fastball",94.9,-11.4780152671756,15.429465648855,2143.07888040712,136.358778625954,22.5824961054492
" Clayton Kershaw - 4-Seam Fastball","4-Seam Fastball",90.6,0.531117824773414,19.3364954682779,2504.92749244713,174.965256797583,27.648206318401
" Wade Miley - 4-Seam Fastball","4-Seam Fastball",89.9,-2.77787234042553,16.6255319148936,2239.19621749409,157.491725768322,24.9076331200677
" Jose Quintana - 4-Seam Fastball","4-Seam Fastball",91.5,-3.58479207920792,16.6493465346535,2041.18415841584,156.750495049505,22.3080235892442
" Jose Alvarez - 4-Seam Fastball","4-Seam Fastball",91.3,-10.563025210084,15.7623529411765,2301.6974789916,136.655462184874,25.2102681160087
" Mike Minor - 4-Seam Fastball","4-Seam Fastball",90.9,-1.9341935483871,14.6747311827957,2544.03136200717,153.605734767025,27.9871436964485
" Hector Santiago - 4-Seam Fastball","4-Seam Fastball",90.9,-11.9491588785047,15.3798130841122,2043.97819314642,137.884735202492,22.4860087254831
" Derek Holland - 4-Seam Fastball","4-Seam Fastball",92.7,-12.0030769230769,15.0523076923077,2288.89743589744,132.512820512821,24.6914502254308
" Madison Bumgarner - 4-Seam Fastball","4-Seam Fastball",90.4,-8.47497997329773,15.4091855807744,2313.32309746328,143.811748998665,25.5898572728239
" Jake Diekman - 4-Seam Fastball","4-Seam Fastball",95.4,-14.2005882352941,13.578431372549,2223.93137254902,125.415032679739,23.3116496074321
" Danny Duffy - 4-Seam Fastball","4-Seam Fastball",93.7,-5.27479452054795,19.2652054794521,2271.86757990868,159.164383561644,24.2461854846177
" Matt Moore - 4-Seam Fastball","4-Seam Fastball",92.4,-12.8103786816269,15.3394670406732,2278.92987377279,137.764375876578,24.6637432226492
" Chris Sale - 4-Seam Fastball","4-Seam Fastball",93.6,-13.1702506963788,12.1597771587744,2289.00278551532,118.197771587744,24.4551579649073
" Will Smith - 4-Seam Fastball","4-Seam Fastball",92.8,-7.13836575875486,17.3308949416342,2240.93774319066,148.608949416342,24.1480360257614
" Martin Perez - 4-Seam Fastball","4-Seam Fastball",93.4,-11.0611764705882,15.6579831932773,2107.89495798319,135.151260504202,22.5684685008907
" Tyler Anderson - 4-Seam Fastball","4-Seam Fastball",90.6,-8.90559662090813,18.3663357972545,2293.68426610348,148.858500527983,25.3166033786257
" Danny Coulombe - 4-Seam Fastball","4-Seam Fastball",90.4,-4.51597122302158,15.0345323741007,2247.08633093525,153.258992805755,24.8571496784873
" Brad Hand - 4-Seam Fastball","4-Seam Fastball",92.9,-11.8385150812065,15.2394431554524,2379.99303944316,126.872389791183,25.6188701769984
" Sean Nolin - 4-Seam Fastball","4-Seam Fastball",90.7,-8.30947368421053,16.46,2087.48684210526,150.671052631579,23.0152904311495
" Kwang Hyun Kim - 4-Seam Fastball","4-Seam Fastball",89.1,-0.71917695473251,15.6427983539095,2131.90946502058,165.41975308642,23.9271544895688
" Hyun Jin Ryu - 4-Seam Fastball","4-Seam Fastball",89.9,-12.0202904564315,12.9761825726141,1944.25518672199,133.470954356846,21.6268652583091
" Aroldis Chapman - 4-Seam Fastball","4-Seam Fastball",98.3,-4.09352112676056,18.0553521126761,2372.95598591549,156.109154929577,24.1399388190793
" Brooks Raley - 4-Seam Fastball","4-Seam Fastball",90.9,-7.01333333333333,14.9542857142857,2430.46031746032,136.031746031746,26.7377372657901
" Tyler Matzek - 4-Seam Fastball","4-Seam Fastball",96,-4.89933673469388,17.9066326530612,2431.41836734694,152.692602040816,25.3272746598639
" Joely Rodriguez - 4-Seam Fastball","4-Seam Fastball",94,-12.6573134328358,11.5388059701493,2062.07462686567,121.34328358209,21.9369641155923
" Matthew Boyd - 4-Seam Fastball","4-Seam Fastball",92,-10.6995140186916,15.2023177570093,2332.9214953271,138.457943925234,25.357842340512
" Rex Brothers - 4-Seam Fastball","4-Seam Fastball",94.5,-8.59100917431193,16.9387155963303,2106.82262996942,142.998470948012,22.2944193647558
" Patrick Corbin - 4-Seam Fastball","4-Seam Fastball",92.3,-8.03514360313316,15.0562402088773,2148.76762402089,149.707571801567,23.280255948222
" Andrew Heaney - 4-Seam Fastball","4-Seam Fastball",92,-15.3388922155689,15.1765868263473,2443.48652694611,129.232784431138,26.5596361624577
" Sam Selman - 4-Seam Fastball","4-Seam Fastball",90.9,-4.54577777777778,15.2488888888889,2346.22222222222,148.185185185185,25.8110255469991
