"NamePitchConc","pitch_type_name","avg_speed","pfx_x","pfx_z","release_spin_rate","spin_axis","BauerUnits"
" Ross Detwiler - Cutter","Cutter",85.2,0.421292307692308,4.94473846153846,2059.99076923077,163.873846153846,24.1782954135067
" Jon Lester - Cutter","Cutter",86.4,1.78187192118227,10.5747783251232,2304.85057471264,157.111658456486,26.6765112813963
" Wade LeBlanc - Cutter","Cutter",85,0.0924324324324324,10.3551351351351,2026.30630630631,150,23.8388977212507
" David Price - Cutter","Cutter",88.9,-0.609152542372881,8.24542372881356,2001.42372881356,142.449152542373,22.5132027988027
" Justin Wilson - Cutter","Cutter",89.5,3.61009345794393,11.5928971962617,2353.83644859813,173.03738317757,26.2998485876886
" Brett Anderson - Cutter","Cutter",85.7,0.692307692307692,9.45333333333333,2035.8547008547,159.461538461538,23.7555974428787
" Lucas Luetge - Cutter","Cutter",88.3,4.79905882352941,7.392,2553.57124183007,191.741176470588,28.919266611892
" Wade Miley - Cutter","Cutter",85.4,3.96946843853821,6.91215946843854,2276.4219269103,181.294850498339,26.655994460308
" Madison Bumgarner - Cutter","Cutter",86,2.84713375796178,8.1275923566879,2407.67388535032,180.882802547771,27.9962079691898
" Matt Moore - Cutter","Cutter",89.5,-1.99555555555556,14.0677777777778,2222.58333333333,150.592592592593,24.8333333333333
" Martin Perez - Cutter","Cutter",89.6,-0.583079777365492,11.0415584415584,2225.12244897959,149.769944341373,24.8339559037901
" Tyler Anderson - Cutter","Cutter",85,2.15042735042735,9.74991452991453,2486.80626780627,162.353276353276,29.2565443271326
" Richard Bleier - Cutter","Cutter",87.2,1.04506329113924,5.37493670886076,1959.89240506329,149.050632911392,22.4758303332946
" Sean Nolin - Cutter","Cutter",82.3,4.0535593220339,5.3806779661017,2015.56779661017,190.822033898305,24.4904957060774
" Hyun Jin Ryu - Cutter","Cutter",86.3,-0.415917159763314,8.32597633136095,1996.65680473373,156.002958579882,23.1362318045623
" Brooks Raley - Cutter","Cutter",87.7,4.16071942446043,7.04028776978417,2538.89568345324,179.269784172662,28.9497797429103
" Aaron Loup - Cutter","Cutter",84.7,1.07474452554745,1.30379562043796,2423.00364963504,222.401459854015,28.6068907867183
" Dallas Keuchel - Cutter","Cutter",85.1,1.72199095022624,7.88380090497738,2212.67119155354,167.541478129713,26.0008365634964
" Yusei Kikuchi - Cutter","Cutter",91.3,-0.00849438202247191,9.48350561797753,2301.24606741573,153.140449438202,25.2053238490222
" Drew Smyly - Cutter","Cutter",87.6,-3.52049382716049,11.0854320987654,1956.69547325103,141.283950617284,22.336706315651
" Eduardo Rodriguez - Cutter","Cutter",88.3,1.88550308008214,8.60106776180698,2182.22792607803,157.486652977413,24.7137930473163
" Marco Gonzales - Cutter","Cutter",85.5,-2.87669724770642,13.48,2115.37920489297,151.544342507645,24.7412772502101
" Aaron Bummer - Cutter","Cutter",88.1,1.52,1.4896,2270.89333333333,233.573333333333,25.7763147937949
" Jose Alvarado - Cutter","Cutter",94.1,1.26141176470588,5.09929411764706,2255.69411764706,155.388235294118,23.9712446083641
" A.J. Minter - Cutter","Cutter",89,5.13295336787565,3.93886010362694,2542.07772020725,208.520725388601,28.5626710135647
" Alex Young - Cutter","Cutter",86,0.706178010471204,9.17591623036649,2409.52879581152,142.680628272251,28.0177766954828
" Tyler Alexander - Cutter","Cutter",86.2,3.66877796901893,8.4526678141136,2334.92426850258,174.070567986231,27.0872884977098
" Nestor Cortes - Cutter","Cutter",85.4,5.24724233983287,6.52779944289694,2350.55988857939,192.515320334262,27.5241204751685
" Anthony Kay - Cutter","Cutter",88,1.932,4.23428571428571,2472.68571428571,204.7,28.0987012987013
" Eric Lauer - Cutter","Cutter",90.3,-3.97832853025937,12.2552161383285,2343.04899135447,151.394812680115,25.9473863937372
" Ryan Yarbrough - Cutter","Cutter",81.9,2.12497492477432,6.39935807422267,2116.38816449348,174.663991975928,25.8411253295907
" Tyler Gilbert - Cutter","Cutter",86.3,1.86243542435424,10.370479704797,2241.21033210332,164.442804428044,25.9699922607569
" Jordan Montgomery - Cutter","Cutter",87.3,0.345464788732394,8.68969014084507,2360.70985915493,159.425352112676,27.0413500475937
" Sean Newcomb - Cutter","Cutter",87.5,4.15058823529412,0.182117647058824,2700.96470588235,247.429411764706,30.8681680672269
" Kolby Allard - Cutter","Cutter",86.3,2.39196850393701,6.00236220472441,2196.92322834646,179.037401574803,25.4568160874445
" Anthony Misiewicz - Cutter","Cutter",88.7,0.564444444444444,7.56282828282828,2442.90572390572,195.609427609428,27.5412144746981
" John King - Cutter","Cutter",87.3,-1.41529411764706,7.90411764705882,2101.92647058824,140.455882352941,24.0770500640119
" Josh Fleming - Cutter","Cutter",86.3,-0.510545454545455,6.85909090909091,1853.49090909091,127.838636363636,21.4772990624671
